"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"1019","j","true","0","0","mov","null","congruent"
"1323","j","false","180","0","mov","repetition","incongruent"
"975","f","false","0","180","mov","repetition","incongruent"
"793","j","false","0","180","or","switch","incongruent"
"1052","j","false","180","0","mov","switch","incongruent"
"1668","f","true","180","180","mov","repetition","congruent"
"577","j","false","0","180","or","switch","incongruent"
"450","j","true","0","0","or","repetition","congruent"
"1441","f","false","0","180","mov","switch","incongruent"
"1259","j","true","0","0","mov","repetition","congruent"
"1889","f","false","0","180","mov","repetition","incongruent"
"1621","j","false","0","180","or","switch","incongruent"
"1115","j","false","0","180","or","repetition","incongruent"
"741","j","true","0","0","mov","switch","congruent"
"665","j","true","0","0","mov","repetition","congruent"
"1007","j","true","180","0","or","switch","incongruent"
"954","j","true","0","0","or","repetition","congruent"
"1276","f","false","0","180","mov","switch","incongruent"
"1705","f","false","0","180","mov","repetition","incongruent"
"1030","f","false","0","180","mov","repetition","incongruent"
"722","j","true","0","0","or","switch","congruent"
"671","j","true","0","0","mov","switch","congruent"
"639","j","false","0","180","or","switch","incongruent"
"1163","f","true","180","180","mov","switch","congruent"
"1567","f","false","180","0","or","switch","incongruent"
"608","j","false","0","180","or","repetition","incongruent"
"1316","j","false","180","0","mov","switch","incongruent"
"1200","f","true","180","180","mov","repetition","congruent"
"1080","j","false","180","0","mov","repetition","incongruent"
"1251","j","false","180","180","mov","repetition","congruent"
"997","j","false","180","0","mov","repetition","incongruent"
"775","f","true","180","180","or","switch","congruent"
"1068","f","true","180","180","or","repetition","congruent"
"1728","j","false","0","180","or","repetition","incongruent"
"532","f","true","180","180","or","repetition","congruent"
"513","j","true","0","0","or","repetition","congruent"
"1446","j","false","180","0","mov","switch","incongruent"
"695","f","true","180","180","or","switch","congruent"
"914","f","true","180","180","mov","switch","congruent"
"1580","f","true","180","180","mov","repetition","congruent"
"1823","f","false","0","180","mov","repetition","incongruent"
"872","f","true","180","180","or","switch","congruent"
"706","f","false","180","0","or","repetition","incongruent"
"993","j","false","180","0","mov","switch","incongruent"
"1345","f","false","0","180","mov","repetition","incongruent"
"1425","f","false","0","180","mov","repetition","incongruent"
"1001","j","true","180","0","or","switch","incongruent"
"948","f","true","180","180","or","repetition","congruent"
"562","f","false","180","0","or","repetition","incongruent"
"817","f","false","0","180","mov","switch","incongruent"
"800","f","true","180","180","or","switch","congruent"
"701","j","true","0","0","or","repetition","congruent"
"1423","f","false","180","0","or","repetition","incongruent"
"493","f","false","180","0","or","repetition","incongruent"
"1620","j","true","0","0","mov","switch","congruent"
"810","j","true","0","0","or","switch","congruent"
"1025","f","true","180","180","mov","switch","congruent"
"1011","j","false","0","180","or","switch","incongruent"
"1308","f","true","180","180","mov","switch","congruent"
"572","f","true","180","180","or","switch","congruent"
"792","f","true","180","180","mov","switch","congruent"
"754","f","true","180","180","or","switch","congruent"
"1130","j","false","180","0","mov","switch","incongruent"
"1021","f","true","180","180","or","switch","congruent"
"710","j","false","0","180","or","repetition","incongruent"
"956","f","true","180","180","mov","switch","congruent"
"1713","f","false","0","180","mov","repetition","incongruent"
"605","j","true","0","0","or","switch","congruent"
"530","f","false","180","0","or","repetition","incongruent"
"449","f","true","180","180","or","repetition","congruent"
"560","j","true","0","0","or","repetition","congruent"
"773","j","false","180","0","mov","switch","incongruent"
"553","j","true","0","0","mov","repetition","congruent"
"720","j","true","0","0","mov","repetition","congruent"
"1084","j","true","0","0","or","switch","congruent"
"1293","f","true","0","180","or","repetition","incongruent"
"1664","j","true","0","0","mov","switch","congruent"
"522","f","false","180","0","or","switch","incongruent"
"490","j","true","0","0","or","repetition","congruent"
"923","j","true","0","0","mov","switch","congruent"
"925","j","true","0","0","mov","repetition","congruent"
"887","j","false","180","0","mov","repetition","incongruent"
"1572","f","true","180","180","mov","repetition","congruent"
"680","f","false","180","0","or","switch","incongruent"
"972","f","false","180","0","or","repetition","incongruent"
"666","j","true","0","0","mov","switch","congruent"
"836","j","false","180","0","mov","repetition","incongruent"
"747","f","true","180","180","or","switch","congruent"
"616","j","false","0","180","or","repetition","incongruent"
"1611","j","false","0","180","or","repetition","incongruent"
"1513","j","false","180","0","mov","switch","incongruent"
"1089","f","true","180","180","mov","repetition","congruent"
"846","j","true","0","0","or","switch","congruent"
"753","f","false","0","180","mov","switch","incongruent"
"683","j","true","0","0","or","switch","congruent"
"878","j","true","180","0","or","repetition","incongruent"
